WorkerId,item,realopp
A1NYI79LUIBOTP,10,
A1NYI79LUIBOTP,11,
A1NYI79LUIBOTP,3,
A1NYI79LUIBOTP,13,
A1NYI79LUIBOTP,7,
A1NYI79LUIBOTP,5,
A1NYI79LUIBOTP,12,
A3GEL5PWFIK05S,1,
A3GEL5PWFIK05S,3,
A3GEL5PWFIK05S,10,
A3GEL5PWFIK05S,8,
A3GEL5PWFIK05S,5,
A3GEL5PWFIK05S,13,
A3GEL5PWFIK05S,4,
A3GEL5PWFIK05S,2,
A3GEL5PWFIK05S,9,
A3GEL5PWFIK05S,11,
A3GEL5PWFIK05S,6,
A3GEL5PWFIK05S,12,
A3GEL5PWFIK05S,7,
A30W987G9S6F0G,1,
A30W987G9S6F0G,13,
A30W987G9S6F0G,6,
A30W987G9S6F0G,8,
A30W987G9S6F0G,9,
A30W987G9S6F0G,3,
A30W987G9S6F0G,11,
A30W987G9S6F0G,10,
A30W987G9S6F0G,2,
A30W987G9S6F0G,7,
A30W987G9S6F0G,12,
A30W987G9S6F0G,5,
A30W987G9S6F0G,4,
